Model,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage,Weight,Price
Agfa ePhoto 1280,1024,640,0,38,114,70,40,4,420,179
Agfa ePhoto 1680,1280,640,1,38,114,50,0,4,420,179
Agfa ePhoto CL18,640,0,0,45,45,0,0,2,0,179
Agfa ePhoto CL30,1152,640,0,35,35,0,0,4,0,269
Agfa ePhoto CL30 Clik!,1152,640,0,43,43,50,0,40,300,1299
Agfa ePhoto CL45,1600,640,1,51,51,50,20,8,270,179
Agfa ePhoto CL50,1280,640,1,34,102,0,0,8,0,179
Canon EOS D30,2160,1440,3,0,0,0,0,16,855,549
Canon EOS-1D,2464,1232,4,0,0,0,0,0,1585,4499
Canon PowerShot 350,640,0,0,42,42,70,3,2,320,149
Canon PowerShot 600,832,640,0,50,50,40,10,1,460,139
Canon PowerShot A10,1280,1024,1,35,105,76,16,8,375,139
Canon PowerShot A100,1280,1024,1,39,39,20,5,8,225,139
Canon PowerShot A20,1600,1024,1,35,105,76,16,8,375,139
Canon PowerShot A200,1600,1024,1,39,39,20,5,8,225,139
Canon PowerShot A5,1024,512,0,35,35,50,9,8,240,149
Canon PowerShot A5 Zoom,1024,512,0,28,70,50,17,8,290,149
Canon PowerShot A50,1280,640,1,28,70,50,17,8,290,149
Canon PowerShot G1,2048,1024,3,34,102,70,6,16,490,499
Canon PowerShot G2,2272,1600,3,34,102,70,6,32,510,499
Canon PowerShot Pro70,1536,768,1,28,70,32,12,8,800,199
Canon PowerShot Pro90 IS,1856,1024,2,37,370,10,10,16,680,384
Canon PowerShot S10,1600,1280,1,35,70,46,12,8,320,399
Canon PowerShot S100,1600,640,1,35,70,57,10,8,250,199
Canon PowerShot S110,1600,1024,1,35,70,57,10,8,250,199
Canon PowerShot S20,2048,1024,3,32,64,66,12,16,320,399
Canon PowerShot S30,2048,1600,3,35,105,80,10,16,323,399
Canon PowerShot S300,1600,1024,1,35,105,76,16,8,270,199
Canon PowerShot S40,2272,1600,3,35,105,80,10,16,323,139
Casio GV-10,1280,640,1,35,35,60,10,8,320,249
Casio QV-2000UX,1600,800,1,36,108,50,20,8,320,249
Casio QV-2100,1600,800,1,41,41,80,20,16,260,249
Casio QV-2300UX,1600,800,1,41,123,10,1,8,245,249
Casio QV-2400UX,1600,800,1,41,123,10,1,8,245,249
Casio QV-2800UX,1600,800,1,40,320,40,1,8,295,249
Casio QV-2900UX,1600,800,1,40,320,40,1,8,295,249
Casio QV-300,640,320,0,47,106,60,9,4,290,249
Casio QV-3000EX,2048,1024,3,33,100,30,6,16,360,249
Casio QV-3500EX,2048,1024,3,33,100,30,6,16,360,249
Casio QV-3EX,2048,1024,3,41,41,50,10,16,245,249
Casio QV-4000,2240,1600,3,34,102,30,6,16,420,249
Casio QV-5000SX,1280,640,1,35,35,30,10,8,320,249
Casio QV-5500SX,1280,640,1,36,36,30,10,8,320,249
Casio QV-700,640,0,0,38,38,70,14,4,290,249
Casio QV-7000SX,1280,640,1,32,64,23,10,8,320,249
Casio QV-770,640,0,0,38,38,70,14,4,300,249
Casio QV-8000SX,1280,640,1,40,320,40,1,8,320,249
Contax N Digital,3040,0,6,0,0,0,0,0,0,549
Epson PhotoPC 3000 Zoom,2048,640,3,34,102,50,5,16,360,399
Epson PhotoPC 3100 Zoom,2048,1600,3,34,102,50,5,16,360,399
Epson PhotoPC 500,640,320,0,43,43,60,20,2,320,229
Epson PhotoPC 550,640,320,0,43,43,60,10,1,170,229
Epson PhotoPC 600,1024,640,0,36,36,50,20,4,270,229
Epson PhotoPC 650,1152,640,0,39,39,60,15,8,400,229
Epson PhotoPC 700,1280,640,1,35,35,50,10,4,0,229
Epson PhotoPC 750 Zoom,1280,640,1,34,102,80,20,8,0,229
Epson PhotoPC 800,1600,640,1,38,38,50,15,8,280,229
Epson PhotoPC 850 Zoom,1600,640,1,35,105,0,0,0,0,229
Fujifilm DS-260HD,1280,640,1,35,105,90,25,4,700,169
Fujifilm DS-300,1280,640,1,35,105,20,20,0,700,169
Fujifilm FinePix 1300,1280,640,1,38,38,80,8,8,240,169
Fujifilm FinePix 2300,1600,1280,1,36,36,80,8,8,240,169
Fujifilm FinePix 2400 Zoom,1600,1280,1,38,114,80,10,8,290,169
Fujifilm FinePix 2600 Zoom,1600,1280,1,38,114,80,10,16,260,169
Fujifilm FinePix 2800 Zoom,1600,1280,1,38,228,80,10,16,360,169
Fujifilm Finepix 30i,1600,1280,1,38,38,60,8,16,200,199
Fujifilm FinePix 40i,2400,1280,2,36,36,50,6,64,200,169
Fujifilm FinePix 4700 Zoom,2400,1280,2,36,108,80,20,16,280,169
Fujifilm FinePix 4800 Zoom,2400,1600,2,36,108,60,20,16,280,169
Fujifilm FinePix 4900 Zoom,2400,1600,2,35,210,50,10,16,450,169
Fujifilm FinePix 50i,2400,1600,2,36,36,50,6,64,200,169
Fujifilm FinePix 6800 Zoom,2832,2048,3,36,108,60,20,16,280,169
Fujifilm FinePix 6900 Zoom,2832,2048,3,35,210,50,10,16,450,169
Fujifilm FinePix A101,1280,640,1,36,36,80,8,8,190,169
Fujifilm FinePix A201,1600,1280,1,36,36,80,8,16,190,169
Fujifilm FinePix S1 Pro,3040,2340,3,0,0,0,0,16,820,1699
Fujifilm MX-1200,1280,640,1,38,38,70,10,4,240,169
Fujifilm MX-1400,1280,640,1,38,114,80,10,4,390,169
Fujifilm MX-1500,1280,640,1,38,38,50,10,4,250,169
Fujifilm MX-1700,1280,640,1,38,114,80,20,8,270,169
Fujifilm MX-2700,1800,1280,2,35,35,50,9,4,260,169
Fujifilm MX-2900 Zoom,1800,1280,2,35,105,90,25,8,385,179
Fujifilm MX-500,1280,640,1,35,35,50,9,2,220,169
Fujifilm MX-600 Zoom,1280,640,1,38,115,90,25,4,0,179
Fujifilm MX-700,1280,640,1,35,35,50,9,2,260,169
HP Photosmart 715,2048,640,3,34,102,60,20,16,320,179
HP Photosmart C20,1152,576,1,39,39,60,20,4,300,179
HP Photosmart C200,1152,640,1,35,35,60,20,8,300,179
HP Photosmart C215,1280,640,1,43,43,60,10,4,290,179
HP Photosmart C30,1152,576,1,35,35,60,20,4,300,179
HP Photosmart C315,1600,640,1,38,38,30,30,8,280,179
HP Photosmart C500,1600,640,1,38,115,0,0,16,410,179
HP Photosmart C618,1600,800,1,34,108,50,10,16,630,179
HP Photosmart C912,1600,800,1,34,108,50,10,16,150,179
JVC GC-QX3HD,2032,1024,3,37,86,50,2,8,320,14
