Model,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage,Weight,Price,ID
Agfa ePhoto 1280,1024,640,0,38,114,70,40,4,420,179,0
Agfa ePhoto 1680,1280,640,1,38,114,50,0,4,420,179,1
Agfa ePhoto CL18,640,0,0,45,45,0,0,2,0,179,2
Agfa ePhoto CL30,1152,640,0,35,35,0,0,4,0,269,3
Agfa ePhoto CL30 Clik!,1152,640,0,43,43,50,0,40,300,1299,4
Agfa ePhoto CL45,1600,640,1,51,51,50,20,8,270,179,5
Agfa ePhoto CL50,1280,640,1,34,102,0,0,8,0,179,6
Canon EOS D30,2160,1440,3,0,0,0,0,16,855,549,7
Canon EOS-1D,2464,1232,4,0,0,0,0,0,1585,4499,8
Canon PowerShot 350,640,0,0,42,42,70,3,2,320,149,9
Canon PowerShot 600,832,640,0,50,50,40,10,1,460,139,10
Canon PowerShot A10,1280,1024,1,35,105,76,16,8,375,139,11
Canon PowerShot A100,1280,1024,1,39,39,20,5,8,225,139,12
Canon PowerShot A20,1600,1024,1,35,105,76,16,8,375,139,13
Canon PowerShot A200,1600,1024,1,39,39,20,5,8,225,139,14
Canon PowerShot A5,1024,512,0,35,35,50,9,8,240,149,15
Canon PowerShot A5 Zoom,1024,512,0,28,70,50,17,8,290,149,16
Canon PowerShot A50,1280,640,1,28,70,50,17,8,290,149,17
Canon PowerShot G1,2048,1024,3,34,102,70,6,16,490,499,18
Canon PowerShot G2,2272,1600,3,34,102,70,6,32,510,499,19
Canon PowerShot Pro70,1536,768,1,28,70,32,12,8,800,199,20
Canon PowerShot Pro90 IS,1856,1024,2,37,370,10,10,16,680,384,21
Canon PowerShot S10,1600,1280,1,35,70,46,12,8,320,399,22
Canon PowerShot S100,1600,640,1,35,70,57,10,8,250,199,23
Canon PowerShot S110,1600,1024,1,35,70,57,10,8,250,199,24
Canon PowerShot S20,2048,1024,3,32,64,66,12,16,320,399,25
Canon PowerShot S30,2048,1600,3,35,105,80,10,16,323,399,26
Canon PowerShot S300,1600,1024,1,35,105,76,16,8,270,199,27
Canon PowerShot S40,2272,1600,3,35,105,80,10,16,323,139,28
Casio GV-10,1280,640,1,35,35,60,10,8,320,249,29
Casio QV-2000UX,1600,800,1,36,108,50,20,8,320,249,30
Casio QV-2100,1600,800,1,41,41,80,20,16,260,249,31
Casio QV-2300UX,1600,800,1,41,123,10,1,8,245,249,32
Casio QV-2400UX,1600,800,1,41,123,10,1,8,245,249,33
Casio QV-2800UX,1600,800,1,40,320,40,1,8,295,249,34
Casio QV-2900UX,1600,800,1,40,320,40,1,8,295,249,35
Casio QV-300,640,320,0,47,106,60,9,4,290,249,36
Casio QV-3000EX,2048,1024,3,33,100,30,6,16,360,249,37
Casio QV-3500EX,2048,1024,3,33,100,30,6,16,360,249,38
Casio QV-3EX,2048,1024,3,41,41,50,10,16,245,249,39
